Time (hrs),LED Luminosity,Unit Number,Temperature (K)
336,0.9704,Unit 1,298.15
672,0.9439,Unit 1,298.15
1008,0.9614,Unit 1,298.15
1344,0.9008,Unit 1,298.15
1680,0.9273,Unit 1,298.15
2016,0.8753,Unit 1,298.15
2352,0.8793,Unit 1,298.15
2688,0.9106,Unit 1,298.15
3024,0.8572,Unit 1,298.15
3360,0.8572,Unit 1,298.15
3696,0.8698,Unit 1,298.15
4032,0.8369,Unit 1,298.15
4368,0.839,Unit 1,298.15
4704,0.7949,Unit 1,298.15
5040,0.8113,Unit 1,298.15
5376,0.7658,Unit 1,298.15
5712,0.8094,Unit 1,298.15
6048,0.761,Unit 1,298.15
6384,0.8047,Unit 1,298.15
6720,0.7731,Unit 1,298.15
7056,0.7853,Unit 1,298.15
7392,0.7681,Unit 1,298.15
7728,0.7555,Unit 1,298.15
8064,0.7531,Unit 1,298.15
8400,0.7574,Unit 1,298.15
8736,0.7496,Unit 1,298.15
9072,0.7396,Unit 1,298.15
9408,0.7212,Unit 1,298.15
9744,0.7262,Unit 1,298.15
336,0.9081,Unit 2,298.15
672,0.8351,Unit 2,298.15
1008,0.8663,Unit 2,298.15
1344,0.8183,Unit 2,298.15
1680,0.8304,Unit 2,298.15
2016,0.7983,Unit 2,298.15
2352,0.798,Unit 2,298.15
2688,0.7888,Unit 2,298.15
3024,0.7656,Unit 2,298.15
3360,0.7768,Unit 2,298.15
3696,0.7544,Unit 2,298.15
4032,0.737,Unit 2,298.15
4368,0.7056,Unit 2,298.15
4704,0.7628,Unit 2,298.15
5040,0.7706,Unit 2,298.15
5376,0.73,Unit 2,298.15
5712,0.7047,Unit 2,298.15
6048,0.7203,Unit 2,298.15
6384,0.7087,Unit 2,298.15
6720,0.7201,Unit 2,298.15
7056,0.6961,Unit 2,298.15
7392,0.7152,Unit 2,298.15
7728,0.718,Unit 2,298.15
8064,0.6998,Unit 2,298.15
8400,0.6744,Unit 2,298.15
8736,0.7155,Unit 2,298.15
9072,0.7133,Unit 2,298.15
9408,0.6708,Unit 2,298.15
9744,0.6841,Unit 2,298.15
336,0.9483,Unit 3,298.15
672,0.9485,Unit 3,298.15
1008,0.9348,Unit 3,298.15
1344,0.9193,Unit 3,298.15
1680,0.8926,Unit 3,298.15
2016,0.8888,Unit 3,298.15
2352,0.8957,Unit 3,298.15
2688,0.8518,Unit 3,298.15
3024,0.8511,Unit 3,298.15
3360,0.8631,Unit 3,298.15
3696,0.8463,Unit 3,298.15
4032,0.8594,Unit 3,298.15
4368,0.8282,Unit 3,298.15
